City,State,Shape,Duration,Summary,Posted,Date,Time
Fort Collins,CO,Circle,900,Orange color. Went straight up and stopped.i got ten seconds video on my phone then went to the telescope to look at it. Daughter in,7/8/2016,7/4/2016,20:00:00
Lakewood,CO,Circle,120,Circular gold craft with pulsating orange and red light dead center.,10/11/2016,7/3/2016,23:30:00
Palm Harbor,FL,Circle,30,Sitting by my pool. Saw 2 orange round Fireballs in the sky moving around strangely. Grabbed my phone to go out of the screen in enclos,7/8/2016,7/3/2016,23:20:00
Bath,PA,Circle,1800,I saw a green round light out by our pole building. I got my Fiance and we got on our golf cart and went around building it wasn't the,7/8/2016,7/3/2016,23:00:00
Jacksonville,FL,Circle,20,A floating ball of light that zig-zag's at light speed leaving a light trail.,7/8/2016,7/3/2016,23:00:00
Wakefield,MA,Circle,120,Orange lights meteor like object flies overhead,7/8/2016,7/3/2016,21:54:00
Millbury,MA,Circle,1200,There should be many more witness's to this because it was at a fireworks show there where hundreds of folks with their eyes on the sky,7/8/2016,7/3/2016,21:48:00
Madison,WI,Circle,300,"Orange orb sighting at night that lasted about 5 minutes in Madison, Wisconsin.",7/8/2016,7/3/2016,21:45:00
Milbury,MA,Circle,3600,"Two round, red objects hovering above, and then moving slowly to different positions.",11/17/2017,7/3/2016,21:00:00
Ogunquit,ME,Circle,60,"While sitting on the beach just S of the Ogunquit River outlet to the Atlantic Ocean, on July 3,2016, at approximately 2:00 - 2:30",7/22/2016,7/3/2016,14:00:00
Warwick,RI,Circle,600,Red spherical light with green moving light and no white light.,7/8/2016,7/2/2016,22:15:00
Wolcott,CT,Circle,1200,Craft after craft disappear under a clear starey night,7/8/2016,7/2/2016,22:00:00
Lisman,AL,Circle,600,"Bright red circle hovering very high above in the Western sky towards Yantley, AL. Looked as if it was a planet such as Mars, but spark",7/8/2016,7/2/2016,20:38:00
Fayetteville,NC,Circle,900,"4 circles flying north to south in Fayetteville, NC on July 1, 2016.",7/8/2016,7/1/2016,21:30:00
Kihei,HI,Circle,300,Daughter and I were talking our telescope outside @ ~11pm when we were mystified by this gliding stream of orange and yellow lights.,7/8/2016,6/30/2016,23:00:00
Pacifica,CA,Circle,3600,We saw the bright light and at first thought it was a bright planet in the sky beaming through the thick fog. We got our telescope and,7/8/2016,6/30/2016,20:00:00
Pacifica,CA,Circle,3600,"We had a UFO sighting last night at 8pm above our home in Pacifica, CA. This is a drawing of the image focused through our telescope.",7/8/2016,6/30/2016,20:00:00
Akron,OH,Circle,300,My boyfriend and I were having a bonfire when he noticed a strange object in the sky moving east; it looked as though it was on fire bu,7/8/2016,6/29/2016,23:00:00
Toledo,OH,Circle,3600,There was a circle white light moving slowly in sky. Then 3 jets after another circled after it and then right by one of the jets when,7/8/2016,6/29/2016,22:00:00
New Bedford,MA,Circle,900,"((HOAX??)) Four orbs, different directions.",7/8/2016,6/29/2016,20:30:00
Corvallis,MT,Circle,300,"Seven pulsating red lights unlike any regular aircraft moving at low altitude, very slowly, headed N/NE at 00:30-Corvallis, MT",7/8/2016,6/28/2016,0:24:00
Myrtle Beach,SC,Circle,1200,Glowing fire-like sphere over the ocean and shrunk till it vanished over the water.,7/8/2016,6/27/2016,0:30:00
Columbus,GA,Circle,120,"Moving white ""star light"" with flash in Georgia sky.",7/8/2016,6/26/2016,23:18:00
Carrollton,GA,Circle,420,Went outside to enjoy one of my favorite nightly hobbies which is looking at the stars. Tonight there were about six long super bright,7/8/2016,6/26/2016,23:00:00
Port Townsend,WA,Circle,300,"Bright white orb in mid afternoon while flying kites. ((NUFORC Note: Objects in photos are camera ""lens flares."" PD))",7/8/2016,6/26/2016,15:00:00
Brigantine,NJ,Circle,180,Red/orange fireball.,7/8/2016,6/26/2016,0:15:00
Orland Park,IL,Circle,2700,Blue-green disk holding position in western sky.,7/8/2016,6/25/2016,22:00:00
Charlotte,NC,Circle,45,"White light that made no noise, moved very fast, low moving, very bright, pulsates, able to disappear and reappear in a blink of an eye",7/8/2016,6/25/2016,21:40:00
Hanson,MA,Circle,6,A light orb like object flew above a parachuter it made an umbrella like light Ray then took off at fast speed,7/8/2016,6/25/2016,14:00:00
Montana City,MT,Circle,7200,Silver/translucent spiral-ribbed object over the Elkhorns,7/8/2016,6/24/2016,20:00:00
Dothan,AL,Circle,900,Very bright flashes near big dipper. Like nothing ever seen by us before.,3/10/2017,6/23/2016,22:45:00
Throop,PA,Circle,900,"Looking up at the stars around 10:20 (EDT), when I observed what looked to be a shooting star.",6/24/2016,6/23/2016,22:25:00
Denton,TX,Circle,360,Two white circular lights (orbs) hovering near the roof top four houses away from my next-door neighbor's backyard.,7/22/2016,6/23/2016,22:16:00
